"","q3_increasewhenopen_specify","q6_radio_pp_yes","q6_radio_p_yes","q6_radio_ls_yes","q6_radio_us_yes","q6_tv_pp_yes","q6_tv_p_yes","q6_tv_ls_yes","q6_tv_us_yes","q7_radio_yes_pp","q7_tv_yes_pp","q7_online_yes_pp","q7_paper_yes_pp","q7_radio_yes_p","q7_tv_yes_p","q7_online_yes_p","q7_paper_yes_p","q7_radio_yes_ls","q7_tv_yes_ls","q7_online_yes_ls","q7_paper_yes_ls","q7_radio_yes_us","q7_tv_yes_us","q7_online_yes_us","q7_paper_yes_us"
"30",NA,NA,2,2,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,65,60,20,20,60,60,20,20,60,60
"31",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,2
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,98,NA,NA,NA,99,NA,NA,NA,99,NA
"33",NA,5,30,36,40,10,50,54,45,75,80,75,80,75,80,75,30,75,80,75,30,90,80,85,20
"34",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,6,6,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,4,12,18,18,0,60,100,0,0,100,100,0,0,100,100,0,0,100,100,0
"37",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,0,0,98,100,0,0,90,0,0,0,100,0
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,14,NA,NA,NA,NA,8,8,NA,NA,NA,NA,45,NA,NA,60,NA,40,80,95,NA,60,95,95
"43",NA,NA,NA,NA,NA,NA,6,12,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,90,30,90,90,90,30,90,90,90,30,90,90,90,30
"45",NA,NA,NA,NA,NA,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,85,NA,NA,70,15,NA,NA,75,20,NA,NA,75,20
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,77,5,0,0,77,5,0,0,86,0,NA,NA,90,NA
"50",NA,NA,NA,NA,NA,NA,60,60,80,NA,100,NA,NA,NA,100,95,NA,NA,100,95,NA,NA,100,95,NA
"51",NA,NA,NA,NA,NA,3,5,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,NA,NA,NA,NA,NA,9,9,15,0,0,0,0,0,0,98,0,0,0,98,0,0,0,98,0
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,30,NA,NA,NA,50,NA
"54",NA,NA,20,10,NA,NA,10,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,70,20,0,5,60,34,1,3,30,66,1,0,15,85,0
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,70,95,0,0,60,80,0,0,75,85
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,72,100,0,0,72,0,0,0,83,0,0,0,83,0
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1,NA,24,24,24,NA,24,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",4,0,2,2,2,0,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,0,7,7,7,0,7,7,7,NA,NA,NA,NA,80,100,100,75,80,100,100,75,80,100,100,75
"66",NA,3,NA,NA,NA,3,29,7,7,20,50,20,10,0,70,20,10,0,70,20,10,0,70,20,10
